date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:01:51	163/163	---M--	200	added ('OK')	text/plain	date:Fri,%2019%20Nov%202021%2017:43:24%20GMT	https://tedswoodworking.digeeto.online/robots.txt		(from )
11:01:52	132191/132191	---MC-	200	added ('OK')	text/html	date:Fri,%2030%20Sep%202022%2014:01:50%20GMT	https://tedswoodworking.digeeto.online/	/Users/kelven/websites/TedsWoodworking%20teste/tedswoodworking.digeeto.online/index.html	(from )
11:01:54	22967/22967	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Sep%202022%2014:01:53%20GMT	https://app.boletizze.com/api/a/fonts/eicons.svg?5.9.1	/Users/kelven/websites/TedsWoodworking%20teste/app.boletizze.com/api/a/fonts/eicons.0c2cd.delayed	(from https://tedswoodworking.digeeto.online/)
11:01:56	67165/67165	---M-Z	200	added ('OK')	text/css	date:Wed,%2006%20Jul%202022%2006:40:56%20GMT	https://diyhomewoodplans.com/offer/css/style.css	/Users/kelven/websites/TedsWoodworking%20teste/diyhomewoodplans.com/offer/css/style.css	(from https://tedswoodworking.digeeto.online/)
11:01:57	1006/1006	---MCZ	200	added ('OK')	text/css	date:Fri,%2030%20Sep%202022%2014:01:56%20GMT	https://fonts.googleapis.com/css2?family=Roboto:wght@300;400;500;700;900&display=swap	/Users/kelven/websites/TedsWoodworking%20teste/fonts.googleapis.com/css20466.css	(from https://tedswoodworking.digeeto.online/)
11:01:58	1325/1325	---MCZ	200	added ('OK')	text/css	date:Fri,%2030%20Sep%202022%2014:01:57%20GMT	https://fonts.googleapis.com/css2?family=Open+Sans:wght@300;400;600;700;800&display=swap	/Users/kelven/websites/TedsWoodworking%20teste/fonts.googleapis.com/css258f5.css	(from https://tedswoodworking.digeeto.online/)
11:01:59	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:%2280046b-1538f-5bd11b5a19902-gzip%22	https://www.tedswoodworking.com/bbext/jquery-3.3.1.min.js	/Users/kelven/websites/TedsWoodworking%20teste/www.tedswoodworking.com/bbext/jquery-3.3.1.min.js	(from https://tedswoodworking.digeeto.online/)
11:01:59	6221/6221	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Jul%202022%2006:41:05%20GMT	https://diyhomewoodplans.com/offer/images/logo.png	/Users/kelven/websites/TedsWoodworking%20teste/diyhomewoodplans.com/offer/images/logo.png	(from https://tedswoodworking.digeeto.online/)
11:02:00	4357/4357	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Jul%202022%2006:41:04%20GMT	https://diyhomewoodplans.com/offer/images/icon1.png	/Users/kelven/websites/TedsWoodworking%20teste/diyhomewoodplans.com/offer/images/icon1.png	(from https://tedswoodworking.digeeto.online/)
11:02:01	12387/12387	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Jul%202022%2006:41:06%20GMT	https://diyhomewoodplans.com/offer/images/profile5.png	/Users/kelven/websites/TedsWoodworking%20teste/diyhomewoodplans.com/offer/images/profile5.png	(from https://tedswoodworking.digeeto.online/)
11:02:02	33980/33980	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Jul%202022%2006:41:12%20GMT	https://diyhomewoodplans.com/offer/images/wood-fail.jpg	/Users/kelven/websites/TedsWoodworking%20teste/diyhomewoodplans.com/offer/images/wood-fail.jpg	(from https://tedswoodworking.digeeto.online/)
11:02:04	69620/69620	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Jul%202022%2006:41:09%20GMT	https://diyhomewoodplans.com/offer/images/ted-workshop.jpg	/Users/kelven/websites/TedsWoodworking%20teste/diyhomewoodplans.com/offer/images/ted-workshop.jpg	(from https://tedswoodworking.digeeto.online/)
11:02:05	63798/63798	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Jul%202022%2006:41:06%20GMT	https://diyhomewoodplans.com/offer/images/new-box651111.png	/Users/kelven/websites/TedsWoodworking%20teste/diyhomewoodplans.com/offer/images/new-box651111.png	(from https://tedswoodworking.digeeto.online/)
11:02:05	35073/35073	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Jul%202022%2006:41:12%20GMT	https://diyhomewoodplans.com/offer/images/wood-plans-1.jpg	/Users/kelven/websites/TedsWoodworking%20teste/diyhomewoodplans.com/offer/images/wood-plans-1.jpg	(from https://tedswoodworking.digeeto.online/)
11:02:06	22146/22146	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Jul%202022%2006:41:01%20GMT	https://diyhomewoodplans.com/offer/images/cutting-list7831.jpg	/Users/kelven/websites/TedsWoodworking%20teste/diyhomewoodplans.com/offer/images/cutting-list7831.jpg	(from https://tedswoodworking.digeeto.online/)
11:02:07	33091/33091	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Jul%202022%2006:41:12%20GMT	https://diyhomewoodplans.com/offer/images/wood-plans-3.jpg	/Users/kelven/websites/TedsWoodworking%20teste/diyhomewoodplans.com/offer/images/wood-plans-3.jpg	(from https://tedswoodworking.digeeto.online/)
11:02:08	29226/29226	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Jul%202022%2006:41:12%20GMT	https://diyhomewoodplans.com/offer/images/wood-plans-2.jpg	/Users/kelven/websites/TedsWoodworking%20teste/diyhomewoodplans.com/offer/images/wood-plans-2.jpg	(from https://tedswoodworking.digeeto.online/)
11:02:09	19844/19844	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Jul%202022%2006:41:14%20GMT	https://diyhomewoodplans.com/offer/images/x15212.jpg	/Users/kelven/websites/TedsWoodworking%20teste/diyhomewoodplans.com/offer/images/x15212.jpg	(from https://tedswoodworking.digeeto.online/)
11:02:11	78806/78806	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Jul%202022%2006:41:14%20GMT	https://diyhomewoodplans.com/offer/images/wplans.jpg	/Users/kelven/websites/TedsWoodworking%20teste/diyhomewoodplans.com/offer/images/wplans.jpg	(from https://tedswoodworking.digeeto.online/)
11:02:12	23303/23303	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Jul%202022%2006:41:05%20GMT	https://diyhomewoodplans.com/offer/images/lifetime-updates63.png	/Users/kelven/websites/TedsWoodworking%20teste/diyhomewoodplans.com/offer/images/lifetime-updates63.png	(from https://tedswoodworking.digeeto.online/)
11:02:12	51658/51658	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Jul%202022%2006:41:15%20GMT	https://diyhomewoodplans.com/offer/images/workshop-wood.jpg	/Users/kelven/websites/TedsWoodworking%20teste/diyhomewoodplans.com/offer/images/workshop-wood.jpg	(from https://tedswoodworking.digeeto.online/)
